task_id,task_class,current_run_id,result_package_path,result_package_sha256,result_analysis_path,result_analysis_sha256,formal_evidence_path,formal_evidence_sha256,scientific_review_path,scientific_review_sha256,final_gate_validation_path,final_gate_validation_sha256,reviewed_commit,merge_commit,status,scientific_review_status,repository_final_gate_status,formal_task_completed,superseded
R1-T01,protocol_lock,r1,configs/r1/r1_t01_validation_protocol_manifest_lock.v1.json,e91b679b1d0c3fc6054a144ad3dd02a81a9a745bb4251beeb8cafa1a10408fa0,docs/evidence/r1/R1-T01_validation_protocol_manifest_lock_evidence.md,441a5a218ac182179aa5fb0386e5f0024078bc35228999a90608881008b3d40a,docs/evidence/r1/R1-T01_validation_protocol_manifest_lock_evidence.md,441a5a218ac182179aa5fb0386e5f0024078bc35228999a90608881008b3d40a,docs/evidence/r1/R1-T01_validation_protocol_manifest_lock_evidence.md,441a5a218ac182179aa5fb0386e5f0024078bc35228999a90608881008b3d40a,docs/evidence/r1/R1-T01_validation_protocol_manifest_lock_evidence.md,441a5a218ac182179aa5fb0386e5f0024078bc35228999a90608881008b3d40a,legacy_adapter_or_bound_in_final_gate,repository_main_history,completed,passed_or_legacy_gate_adapter,passed,true,false
R1-T02,lineage_audit,R1-T02-20260708T1820Z,data/generated/r1/r1_t02/R1-T02-20260708T1820Z/r1_t02_lineage_pit_audit_summary.json,345c15a6e0b646229c2334c70ea6bad6065564af9ecffdbf77f755964fba9cb6,docs/evidence/r1/R1-T02_r0_lineage_pit_audit_evidence.md,b701619c165f53480d7971055d5902a10448302d7e5a54b0f77cda9fdeb7a3f0,docs/evidence/r1/R1-T02_r0_lineage_pit_audit_evidence.md,b701619c165f53480d7971055d5902a10448302d7e5a54b0f77cda9fdeb7a3f0,docs/evidence/r1/R1-T02_r0_lineage_pit_audit_evidence.md,b701619c165f53480d7971055d5902a10448302d7e5a54b0f77cda9fdeb7a3f0,data/generated/r1/r1_t02/R1-T02-20260708T1820Z/r1_t02_lineage_pit_audit_validation_result.json,7d1496f0c95ccead297e04eb8559496d0e2f2d3334acd9c68e1ceee6a928d94b,legacy_adapter_or_bound_in_final_gate,repository_main_history,completed,passed_or_legacy_gate_adapter,passed,true,false
R1-T03,grid_profile,R1-T03-20260708T1830Z,data/generated/r1/r1_t03/R1-T03-20260708T1830Z/r1_t03_27_grid_light_profile_summary.json,b813599f823ec4ba97e039fed53d10a182ffbc4797ab3db2dd7d6ebad8a22db8,docs/evidence/r1/R1-T03_27_grid_light_profile_evidence.md,c5b48fb992e34538e73a8f556c622544dfe19a23078c70b827ace9b5e02d2912,docs/evidence/r1/R1-T03_27_grid_light_profile_evidence.md,c5b48fb992e34538e73a8f556c622544dfe19a23078c70b827ace9b5e02d2912,docs/evidence/r1/R1-T03_27_grid_light_profile_evidence.md,c5b48fb992e34538e73a8f556c622544dfe19a23078c70b827ace9b5e02d2912,data/generated/r1/r1_t03/R1-T03-20260708T1830Z/r1_t03_27_grid_light_profile_validation_result.json,dbf4cdb1412b49f7ed587cbc157f550cb939be473dd42db806447a5d2cefb279,legacy_adapter_or_bound_in_final_gate,repository_main_history,completed,passed_or_legacy_gate_adapter,passed,true,false
R1-T04,formal_experiment,R1-T04-20260710T0835Z,data/generated/r1/r1_t04/R1-T04-20260710T0835Z/r1_t04_result_package.json,f347b30b05b7d6ceb99b814023841d3190e9b6054a942a87f9d2771e93a1252b,docs/experiments/r1/R1-T04_state_line_profiles_result_analysis.md,0b8327a5c7bf007b64b9f3685522cb1c461ed8f2c28378e4f0bec84b9c3fe8f5,docs/evidence/r1/R1-T04_state_line_profiles_evidence.md,71c526f6a63a2deadef0efc38a5c8923a45cc9c80f73861ce2ab0305fd13a24a,data/generated/r1/r1_t04/R1-T04-20260710T0835Z/r1_t04_scientific_review.json,1e25f676fcd48a0d7fd73069b9ffedc2c990a6d6615d23ec2acb1ed9790ff789,data/generated/r1/r1_t04/R1-T04-20260710T0835Z/r1_t04_final_gate_package_validation_result.json,2c82d4b96b1a5e6cc2fec9c8c97901b1b0753a5bb844dd1aeb18118e21d6911e,legacy_adapter_or_bound_in_final_gate,repository_main_history,completed,passed_or_legacy_gate_adapter,passed,true,false
R1-T05,formal_experiment,R1-T05-20260710T0959Z,data/generated/r1/r1_t05/R1-T05-20260710T0959Z/r1_t05_result_package.json,9c54e2dea2d1ddd5248aa6a0dcc1d7e26eef954d9ac14de19f7dae2750a25b2f,docs/experiments/r1/R1-T05_indicator_intralayer_diagnostics_result_analysis.md,5c9b930359e35724b55c9cb49f465065844da85ca3caa9fb5c923b2b2f220ab6,docs/evidence/r1/R1-T05_indicator_intralayer_diagnostics_evidence.md,1f07d8c56858aefafc79b7653b5c88bff4971690daba79fe886119084b1db752,data/generated/r1/r1_t05/R1-T05-20260710T0959Z/r1_t05_scientific_review.json,3cb54ff8fe7892b9686f7f7a0c487d9fd2d4ad40470c2e36d0265c149a4aa0e6,data/generated/r1/r1_t05/R1-T05-20260710T0959Z/r1_t05_final_gate_package_validation_result.json,d8293f1144ecabd7b53d63f56322c25f14bf5d6a112c8cab20e38be100c50a3c,legacy_adapter_or_bound_in_final_gate,repository_main_history,completed,passed_or_legacy_gate_adapter,passed,true,false
R1-T06,formal_experiment,R1-T06-20260710T1216Z,data/generated/r1/r1_t06/R1-T06-20260710T1216Z/r1_t06_result_package.json,91bdcc37a3efa02fc7ecf98de8c1a278593f25758690fa52bf32f9c195a6959f,docs/experiments/r1/R1-T06_contemporaneous_retention_lift_nested_increment_result_analysis.md,7ae2872ab5b36e962420caf3007d297ae3e7dda8509986277a3f5e2bc517bd98,docs/evidence/r1/R1-T06_contemporaneous_retention_lift_nested_increment_evidence.md,67cb74057eaacbce0bd2b7a92c27584e11e2333d3d422e6bea9e25ddbf03cd28,data/generated/r1/r1_t06/R1-T06-20260710T1216Z/r1_t06_scientific_review.json,a211cd824ba6fafe0b09c4f40ca0e7a397e686de31deace3bd24ac543d2a0823,data/generated/r1/r1_t06/R1-T06-20260710T1216Z/r1_t06_final_gate_package_validation_result.json,ee78f24790e1c51d47f21317d6d2a052b6e3380c9d377ad0dfcb5c80010ebe75,legacy_adapter_or_bound_in_final_gate,repository_main_history,completed,passed_or_legacy_gate_adapter,passed,true,false
R1-T07,formal_experiment,R1-T07-20260710T1915Z,data/generated/r1/r1_t07/R1-T07-20260710T1915Z/r1_t07_result_package.json,d91edc4551d8cf2e2a6c7f5372f218474f78c26918abf5531b37bdfd7a0b9667,docs/experiments/r1/R1-T07_p_onset_fixed_lag_relations_result_analysis.md,0fbaea27431557e22d2510939d90d88e94a953ace353fb420f3aaff86bba8e84,docs/evidence/r1/R1-T07_p_onset_fixed_lag_relations_evidence.md,458cd9051038c0dd13d494e976d33b507462a2fe9f68c6330b336f509a4875a3,data/generated/r1/r1_t07/R1-T07-20260710T1915Z/r1_t07_scientific_review.json,9f14bbfc118477c17823a6b1786f37922aa909e26b9ff26bdf4b1b6e89d89204,data/generated/r1/r1_t07/R1-T07-20260710T1915Z/r1_t07_final_gate_package_validation_result.json,cacee2ebe69a314d7c7357e6d6b59ad3e0fb08dc3e2cb731f7779de4a3aecd65,legacy_adapter_or_bound_in_final_gate,repository_main_history,completed,passed_or_legacy_gate_adapter,passed,true,false
R1-T08,formal_experiment,R1-T08-20260710T1629Z,data/generated/r1/r1_t08/R1-T08-20260710T1629Z/r1_t08_result_package.json,d6fe0f10786326552276cd1c66e4cdf80831baa4cb37d7cecd415663db565281,docs/experiments/r1/R1-T08_S_PCT_S_PCVT同步性与嵌套增量零模型_result_analysis.md,66a23faefb5ed98ea4ca3da063bc7a774ca75377e15d83aceaac2aafd2b3a0b8,docs/evidence/r1/R1-T08_S_PCT_S_PCVT同步性与嵌套增量零模型_evidence.md,11c7b9cf40b5a9a32bd362bad83a4ae80e27fb2b02959211da91f35bc91ad8fe,data/generated/r1/r1_t08/R1-T08-20260710T1629Z/r1_t08_scientific_review.json,07dffddd225cd3efc4d6e23460b8dd4898c437c1e73251b20f69e323686e62ca,data/generated/r1/r1_t08/R1-T08-20260710T1629Z/r1_t08_final_gate_package_validation_result.json,9db90f9ce9c189e61f40adb863732c57a9808830ca7577260041c6ec08bd0dd0,legacy_adapter_or_bound_in_final_gate,repository_main_history,completed,passed_or_legacy_gate_adapter,passed,true,false
R1-T09,formal_experiment,R1-T09-20260710T1825Z,data/generated/r1/r1_t09/R1-T09-20260710T1825Z/r1_t09_result_package.json,2f37610ba5c2d9b8dd95859cab3db888a1f748bffa5f30c2b87823b497371173,docs/experiments/r1/R1-T09_年份稳定性与状态集中度检查_result_analysis.md,ca9c5ac88112bf3e6d6c734df6be404295e07c4254a61669d5337c73bc7cb7db,docs/evidence/r1/R1-T09_年份稳定性与状态集中度检查_evidence.md,81bdf1f07e051f88f76731f0b2b10500b02bc04c4c8f966a41daf1fc974f7437,data/generated/r1/r1_t09/R1-T09-20260710T1825Z/r1_t09_scientific_review.json,75d28376aa7f5b3dadd2b641430ebed432e3569754a56bdaca1675a250f2ef50,data/generated/r1/r1_t09/R1-T09-20260710T1825Z/r1_t09_final_gate_package_validation_result.json,73158193b50a7d6e528f5477630bef3715e2c6bdcf9b5b9bb72a578e05cdeae8,legacy_adapter_or_bound_in_final_gate,repository_main_history,completed,passed_or_legacy_gate_adapter,passed,true,false
R1-T14-01,diagnostic_selection,R1-T14-01-20260710T2113Z,data/generated/r1/r1_t14_01/R1-T14-01-20260710T2113Z/r1_t14_01_result_package.json,300bbc213a1b42b317f1a8ea7452b846ee5406882eae7aff79e9c4ce12138a35,docs/experiments/r1/R1-T14-01_层级q单变量响应诊断与候选提名_result_analysis.md,edc804be74d4a2780b3ebce061e56c38bead7e9d3739c39db474bd5554e530da,docs/evidence/r1/R1-T14-01_层级q单变量响应诊断与候选提名_evidence.md,0fe25d3b3da813fe6e88630b932040914815a40ee83dfd8e8a7faa8ad8229159,data/generated/r1/r1_t14_01/R1-T14-01-20260710T2113Z/r1_t14_01_scientific_review.json,bfdfb7060f01e47580edd31a96a13406bf28fec82dd14808df3973cedeacc19f,data/generated/r1/r1_t14_01/R1-T14-01-20260710T2113Z/r1_t14_01_final_gate_package_validation_result.json,e7298a9acc1258143913890114c1055dbd7f0160dc81b896195af2cfe7c4558e,legacy_adapter_or_bound_in_final_gate,repository_main_history,completed,passed_or_legacy_gate_adapter,passed,true,false
